PlayerName,Games,GamesStarted,PassAttempts,PassCompletions,PassYards,PassTD,PassINT,SacksTaken,RushAttempts,RushYards,RushTD,Targets,Receptions,RecYards,RecTD,Tackles,TFL,Sacks,QBHits,Interceptions,PassesDefended,ForcedFumbles,FumbleRecoveries,DefensiveTD,Fumbles,FumblesLost,Penalties,SacksAllowed,FGMade,FGAtt,XPMade,XPAtt,Punts,PuntYards,PuntsInside20
Dak Prescott,139.0,139.0,4759.0,3184.0,35989.0,243.0,92.0,287.0,473.0,2115.0,31.0,,,,,,,,,,,,,,66.0,30.0,,,,,,,,,
CeeDee Lamb,95.0,89.0,,,,,,,58.0,390.0,3.0,837.0,571.0,7416.0,41.0,,,,,,,,,,6.0,4.0,,,,,,,,,
Micah Parsons,77.0,76.0,,,,,,,,,,,,,,297.0,75.0,65.0,11.0,0.0,10.0,11.0,4.0,1.0,,,,,,,,,,,
Trevon Diggs,67.0,64.0,,,,,,,,,,,,,,242.0,,1.0,,20.0,63.0,2.0,1.0,2.0,,,,,,,,,,,
Zack Martin,162.0,162.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,
Tyron Smith,171.0,171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DaRon Bland,,,,,,,,,,,,,,,,237.0,,,,15.0,33.0,1.0,1.0,6.0,,,,,,,,,,,
Jake Ferguson,,,,,,,,,,,,,231.0,2029.0,15.0,,,,,,,,,,,,,,,,,,,,
Tyler Smith,63.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandin Cooks,168.0,,,,,,,,,341.0,2.0,,734.0,9811.0,60.0,,,,,,,,,,,,,,,,,,,,
DeMarcus Lawrence,,,,,,,,,,,,,,,,503.0,,67.5,,2.0,21.0,24.0,11.0,4.0,,,,,,,,,,,
Terence Steele,95.0,90.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Tyler Biadasz,92.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donovan Wilson,,,,,,,,,,,,,,,,444.0,,13.0,,8.0,19.0,9.0,6.0,,,,,,,,,,,,
Jourdan Lewis,,,,,,,,,,,,,,,,425.0,,9.5,,12.0,54.0,5.0,10.0,1.0,,,,,,,,,,,
KaVontae Turpin,,,,,,,,,,308.0,1.0,,70.0,952.0,7.0,,,,,,,,,,,,,,,,,,,,
Sam Williams,,,,,,,,,,,,,,,,64.0,,9.5,,,2.0,2.0,4.0,,,,,,,,,,,,
Stephon Gilmore,,,,,,,,,,,,,,,,617.0,,1.0,,32.0,149.0,7.0,3.0,2.0,,,,,,,,,,,
Rico Dowdle,,,,,,,,,,2540.0,10.0,,95.0,690.0,6.0,,,,,,,,,,,,,,,,,,,,
Jalen Tolbert,,,,,,,,,,,,,91.0,1093.0,10.0,,,,,,,,,,,,,,,,,,,,
Luke Schoonmaker,,,,,,,,,,,,,49.0,438.0,3.0,,,,,,,,,,,,,,,,,,,,
DeMarvion Overshown,,,,,,,,,,,,,,,,118.0,,5.0,,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,
Mazi Smith,,,,,,,,,,,,,,,,57.0,,2.0,,,,,,,,,,,,,,,,,
Jalen Brooks,,,,,,,,,,,,,21.0,292.0,1.0,,,,,,,,,,,,,,,,,,,,
Chuma Edoga,62.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chauncey Golston,,,,,,,,,,,,,,,,155.0,,10.0,,1.0,7.0,1.0,2.0,,,,,,,,,,,,
Nahshon Wright,,,,,,,,,,,,,,,,117.0,,,,6.0,16.0,2.0,3.0,1.0,,,,,,,,,,,
Israel Mukuamu,,,,,,,,,,,,,,,,42.0,,,,3.0,4.0,,1.0,,,,,,,,,,,,
Markquese Bell,,,,,,,,,,,,,,,,142.0,,,,1.0,7.0,3.0,,,,,,,,,,,,,
Deuce Vaughn,,,,,,,,,,110.0,,,10.0,58.0,,,,,,,,,,,,,,,,,,,,,
Asim Richards,34.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Pollard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezekiel Elliott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amari Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leighton Vander Esch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Byron Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylon Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Frederick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Witten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dez Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeMarcus Ware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marion Barber III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roy Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrell Owens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terence Newman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flozell Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darren Woodson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmitt Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troy Aikman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Irvin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deion Sanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Haley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Romo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La'el Collins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connor Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randy Gregory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taco Charlton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morris Claiborne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay Ratliff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith Brooking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miles Austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurent Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felix Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tashard Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Crayton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julius Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy Carter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joey Galloway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocket Ismail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troy Hambrick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richie Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dat Nguyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Ellis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
